source_id,type,citation,doi_or_url,notes
ALOTAIBI2022,paper,"Alotaibi E, Arab MG, Abdallah M, Nassif N, Omar M (2022) Life cycle assessment of biocemented sands using enzyme induced carbonate precipitation (EICP) for soil stabilization applications. Sci Rep 12:6032",10.1038/s41598-022-09723-7,"EICP vs PC; ecoinvent 3.0; CML; IPCC-based on-site N emissions (1 % N2O, 11 % NH3 volatilisation)"
RAYMOND2025,paper,"Raymond AJ, DeJong JT, Gomez MG, Kendall A, et al. (2025) Life cycle sustainability assessment of microbially induced calcium carbonate precipitation (MICP) soil improvement techniques. Appl Sci 15:1059",10.3390/app15031059,"LCSA of augmented vs stimulated MICP; NH4+ rinsing; lower ureolytic rates reduce impacts"
VANPAASSEN2010,paper,"van Paassen LA, Ghose R, van der Linden TJM, van der Star WRL, van Loosdrecht MCM (2010) Quantifying biomediated ground improvement by ureolysis: large-scale biogrout experiment. J Geotech Geoenviron Eng 136:1721–1728",10.1061/(ASCE)GT.1943-5606.0000382,"0.6 kg urea and 1.1 kg CaCl2 per kg CaCO3 (stoichiometric)"
FERTEUROPE2018,report,"Fertilizers Europe (2018) The carbon footprint of fertilizer production: regional reference values. Brussels (DNV GL validated). Also: Hoxha A, Christensen B (2019) Proceedings 805, International Fertiliser Society",https://www.fertilizerseurope.com/wp-content/uploads/2020/01/The-carbon-footprint-of-fertilizer-production_Regional-reference-values.pdf,"Urea (46-0-0) EU average: 0.878 kg CO2e/kg excl. CO2 captured in product; 1.611 incl.; 0.733 kg CO2 captured per kg urea released on hydrolysis"
EMBER2024,report,"Ember (2024) European Electricity Review 2024",https://ember-energy.org/latest-insights/european-electricity-review-2024/,"Czechia power sector carbon intensity 450 gCO2/kWh in 2023 (direct combustion only)"
EEA2024,report,"European Environment Agency (2024) Greenhouse gas emission intensity of electricity generation in Europe (indicator)",https://www.eea.europa.eu/en/analysis/indicators/greenhouse-gas-emission-intensity-of-1,"Country-level electricity GHG intensity time series"
OBD2024II,database,"BMWSB (2026) ÖKOBAUDAT data stock OBD_2024_II (release 22 July 2026), EN 15804+A2 / EF 3.1 datasets by Sphera (GaBi)",https://www.oekobaudat.de,"Open construction LCA database; datasets cached in data/background/oekobaudat/raw"
EF31,database,"European Commission JRC (2022–2023) Environmental Footprint reference package EF 3.1: characterisation factors (EF-LCIAMethod_CF(EF-v3.1).xlsx); Andreasi Bassi S et al. (2023) Updated characterisation and normalisation factors for the Environmental Footprint 3.1 method, JRC130796",https://eplca.jrc.ec.europa.eu/permalink/EF3_1/EF-LCIAMethod_CF(EF-v3.1).xlsx,"Official LCIA method used by EN 15804+A2 (2019) and PEF"
EN15804,standard,"CEN (2019) EN 15804:2012+A2:2019 (+AC:2021) Sustainability of construction works – Environmental product declarations – Core rules for the product category of construction products",,"Modules A1–A3, A4–A5, B1–B7, C1–C4, D; core EF indicators; biogenic carbon −1/+1; polluter-pays cut-off for secondary materials"
EN16757,standard,"CEN (2022) EN 16757:2022 Sustainability of construction works – EPD – Product category rules for concrete and concrete elements",,"Carbonation uptake accounting (Annex BB)"
ISO14040,standard,"ISO (2006) ISO 14040:2006 Environmental management – Life cycle assessment – Principles and framework; ISO 14044:2006 (+A1:2017, +A2:2020) Requirements and guidelines",,"Goal & scope, LCI, LCIA, interpretation; critical review for comparative assertions"
ISO14067,standard,"ISO (2018) ISO 14067:2018 Greenhouse gases – Carbon footprint of products – Requirements and guidelines for quantification",,"Treatment of biogenic carbon and carbon storage"
PEF2021,regulation,"European Commission (2021) Commission Recommendation (EU) 2021/2279 on the use of the Environmental Footprint methods (PEF/OEF, Annex I)",https://eur-lex.europa.eu/eli/reco/2021/2279/oj,"EF 3.1 impact categories, data quality rating (DQR), cut-off, allocation (circular footprint formula)"
PICCINNO2016,paper,"Piccinno F, Hischier R, Seeger S, Som C (2016) From laboratory to industrial scale: a scale-up framework for chemical processes in life cycle assessment studies. J Clean Prod 135:1085–1097",10.1016/j.jclepro.2016.06.164,"Scale-up of lab protocols: heating, stirring, heat losses, separation; basis of scaleup module"
TSOY2020,paper,"Tsoy N, Steubing B, van der Giesen C, Guinée J (2020) Upscaling methods used in ex ante life cycle assessment of emerging technologies: a review. Int J Life Cycle Assess 25:1680–1692",10.1007/s11367-020-01796-8,"Review of upscaling methods (process simulation, MPS, scaling relations, proxies)"
VDGIESEN2020,paper,"van der Giesen C, Cucurachi S, Guinée J, Kramer GJ, Tukker A (2020) A critical view on the current application of LCA for new technologies and recommendations for improved practice. J Clean Prod 259:120904",10.1016/j.jclepro.2020.120904,"Recommendations for ex-ante LCA of emerging technologies"
THONEMANN2020,paper,"Thonemann N, Schulte A, Maga D (2020) How to conduct prospective life cycle assessment for emerging technologies? A systematic review and methodological guidance. Sustainability 12:1192",10.3390/su12031192,"Prospective LCA guidance: comparability, scaling, uncertainty"
BERGERSON2020,paper,"Bergerson JA, Brandt A, Cresko J, Carbajales-Dale M, MacLean HL, Matthews HS, McCoy S, McManus M, Miller SA, Morrow WR, Posen ID, Seager T, Skone T, Sleep S (2020) Life cycle assessment of emerging technologies: evaluation techniques at different stages of market and technical maturity. J Ind Ecol 24:11–25",10.1111/jiec.12954,"TRL-dependent LCA practice"
CUCURACHI2018,paper,"Cucurachi S, van der Giesen C, Guinée J (2018) Ex-ante LCA of emerging technologies. Procedia CIRP 69:463–468",10.1016/j.procir.2017.11.005,"Definition of ex-ante LCA"
WEIDEMA1996,paper,"Weidema BP, Wesnæs MS (1996) Data quality management for life cycle inventories – an example of using data quality indicators. J Clean Prod 4:167–174",10.1016/S0959-6526(96)00043-1,"Pedigree matrix"
CIROTH2016,paper,"Ciroth A, Muller S, Weidema B, Lesage P (2016) Empirically based uncertainty factors for the pedigree matrix in ecoinvent. Int J Life Cycle Assess 21:1338–1348",10.1007/s11367-013-0670-5,"Uncertainty factors (GSD) per pedigree score used in uncertainty module"
MULLER2016,paper,"Muller S, Lesage P, Ciroth A, Mutel C, Weidema BP, Samson R (2016) The application of the pedigree approach to the distributions foreseen in ecoinvent v3. Int J Life Cycle Assess 21:1327–1337",10.1007/s11367-014-0759-5,"Lognormal aggregation of pedigree uncertainty"
MUTEL2017,software,"Mutel C (2017) Brightway: an open source framework for life cycle assessment. J Open Source Softw 2:236",10.21105/joss.00236,"Target for export of foreground inventories"
OMOREGIE2019,paper,"Omoregie AI, Palombo EA, Ong DEL, Nissom PM (2019) Biocementation of sand by Sporosarcina pasteurii strain and technical-grade cementation reagents through surface percolation treatment method. Constr Build Mater 228:116828",10.1016/j.conbuildmat.2019.116828,"Low-cost food-grade yeast extract medium; media ≈60 % of MICP cost"
YOOSATHAPORN2016,paper,"Yoosathaporn S, Tiangburanatham P, Bovonsombut S, Chaipanich A, Pathom-aree W (2016) A cost effective cultivation medium for biocalcification of Bacillus pasteurii KCTC 3558 and its effect on cement cubes properties. Microbiol Res 186–187:132–138",10.1016/j.micres.2016.03.010,"Chicken manure effluent medium, −88 % cost"
ACHAL2009,paper,"Achal V, Mukherjee A, Basu PC, Reddy MS (2009) Lactose mother liquor as an alternative nutrient source for microbial concrete production by Sporosarcina pasteurii. J Ind Microbiol Biotechnol 36:433–438",10.1007/s10295-008-0514-7,"Alternative medium"
CHOI2017,paper,"Choi S-G, Chu J, Brown RC, Wang K, Wen Z (2017) Sustainable biocement production via microbially induced calcium carbonate precipitation: use of limestone and acetic acid derived from pyrolysis of lignocellulosic biomass. ACS Sustain Chem Eng 5:5183–5190",10.1021/acssuschemeng.7b00521,"Alternative Ca source (limestone + bio-derived acetic acid)"
GOWTHAMAN2022,paper,"Gowthaman S, Mohsenzadeh A, Nakashima K, Kawasaki S (2022) Removal of ammonium by-products from the effluent of bio-cementation system through struvite precipitation. Mater Today Proc 61:243–249",10.1016/j.matpr.2021.09.013,"Ammonium recovery as struvite (~75 % reduction)"
LEE2019,paper,"Lee M, Gomez MG, San Pablo ACM, Kolbus CM, Graddy CMR, DeJong JT, Nelson DC (2019) Investigating ammonium by-product removal for ureolytic bio-cementation using meter-scale experiments. Sci Rep 9:18313",10.1038/s41598-019-54666-1,"High-pH rinse removes up to 99 % aqueous NH4+"
IPCC2019,report,"IPCC (2019) 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories, Vol. 4, Ch. 11 (N2O from managed soils; urea CO2)",https://www.ipcc-nggip.iges.or.jp/public/2019rf/,"Default EF1 = 1 % of N as N2O-N; urea CO2 emission factor 0.20 kg C per kg urea; NH3 volatilisation fractions"
IPCC2021,report,"IPCC (2021) Climate Change 2021: The Physical Science Basis (AR6), Ch. 7, Table 7.15 – GWP100 values (CH4 fossil 29.8, CH4 biogenic 27.0, N2O 273)",,"Basis of EF 3.1 climate change CFs"
CARBONCLOUD2023,database,"CarbonCloud ClimateHub (2023) Yeast extract (powder), EU: 3.32 kg CO2e/kg (verified product report)",https://apps.carboncloud.com/climatehub/product-reports/id/40832581969,"Used for yeast extract emission factor"
CORBION2020,report,"Corbion / TotalEnergies Corbion (2019–2020) Life cycle impact assessment of lactic acid and PLA produced from sugarcane (peer-reviewed LCA; Morão A, de Bie F, J Polym Environ 2019, 27:2523–2539)",10.1007/s10924-019-01525-9,"Lactic acid cradle-to-gate GWP: −0.224 kg CO2e/kg incl. biogenic uptake (≈1.2–1.5 kg CO2e/kg fossil-only)"
BECKER2023,paper,"Becker M, et al. (2023) Comparative life cycle assessment of chemical and biocatalytic 2'3'-cGAMP synthesis. ChemSusChem 16:e202201629",10.1002/cssc.202201629,"Proxy practice for media: yeast extract/peptone ↔ fodder yeast; tryptone ↔ soybean meal"
DORAN2013,book,"Doran PM (2013) Bioprocess Engineering Principles, 2nd ed. Academic Press, Ch. 8 (mixing) and Ch. 10 (mass transfer)",,"Typical agitation power input in industrial aerobic fermenters ≈ 1–3 kW/m3"
ENVIRONDEC3048,epd,"Gasbeton (2021) EPD S-P-03048 Sysmic Idro autoclaved aerated concrete blocks (580 kg/m3, 5 MPa), Environdec",https://environdec.com/library/epd3048,"AAC benchmark used in NEZERKA2023LCA: 232 kg CO2e/m3 (A1–A3)"
PROSEK2020,paper,"Prošek Z, Trejbal J, Nežerka V, Goliáš V, Faltus M, Tesárek P (2020) Recovery of residual anhydrous clinker in finely ground recycled concrete. Resour Conserv Recycl 155:104640",10.1016/j.resconrec.2019.104640,"WCF characterisation and processing"
MICPREVIEW2026,paper,"(2026) MICP for environmental protection and circular bioeconomy: a critical review. Processes 14(17):2722",10.3390/pr14172722,"Recent review incl. sustainability of MICP"
AGRIBALYSE4,database,"ADEME (2025) AGRIBALYSE® v3.2 (AGRIBALYSE 4): environmental impacts of agricultural and food products, EF 3.1 method; open data (Licence Ouverte / Etalab 2.0)",https://data.ademe.fr/datasets/7yjrtdnoq-ip4mgab1srophe,"Cradle-to-factory-gate profiles (agriculture + processing stages) used as proxies for biological media components; see scripts/fetch_agribalyse_proxies.py"
